daddr,dport,last,nbytes,npkts,proto,saddr,sport
10.2.0.1,1099,2012-04-25 18:04:07.052,370,3,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:04:07.052,376,4,6,10.2.0.1,1099
10.2.0.1,1099,2012-04-25 18:04:08.054,584,4,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:04:08.054,564,6,6,10.2.0.1,1099
10.2.0.1,1099,2012-04-25 18:04:09.055,16266,15,6,10.2.0.2,22
10.2.0.1,55880,2012-04-25 18:18:33.804,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:18:33.804,82,1,17,10.2.0.1,55880
10.2.0.2,53,2012-04-25 18:18:47.815,75,1,17,10.2.0.1,57420
10.2.0.1,57420,2012-04-25 18:18:47.815,75,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:18:47.815,79,1,17,10.2.0.1,64305
10.2.0.1,64305,2012-04-25 18:18:47.816,79,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:18:58.825,73,1,17,10.2.0.1,56305
10.2.0.1,56305,2012-04-25 18:18:58.825,73,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:19:00.827,75,1,17,10.2.0.1,49564
10.2.0.1,49564,2012-04-25 18:19:00.827,75,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:19:01.829,75,1,17,10.2.0.1,54867
10.2.0.2,53,2012-04-25 18:19:01.829,74,1,17,10.2.0.1,58043
10.2.0.2,53,2012-04-25 18:19:01.829,74,1,17,10.2.0.1,64306
10.2.0.1,54867,2012-04-25 18:19:01.829,75,1,17,10.2.0.2,53
10.2.0.1,61955,2012-04-25 18:19:01.83,77,1,17,10.2.0.2,53
10.2.0.1,64306,2012-04-25 18:19:01.83,74,1,17,10.2.0.2,53
10.2.0.1,58043,2012-04-25 18:19:01.83,74,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:19:01.83,77,1,17,10.2.0.1,61955
10.2.0.1,53921,2012-04-25 18:19:02.832,88,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:19:02.832,88,1,17,10.2.0.1,53921
10.2.0.2,53,2012-04-25 18:19:16.843,82,1,17,10.2.0.1,64307
10.2.0.1,64307,2012-04-25 18:19:16.843,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:19:24.849,77,1,17,10.2.0.1,57141
10.2.0.1,57141,2012-04-25 18:19:24.849,77,1,17,10.2.0.2,53
10.2.0.1,60563,2012-04-25 18:19:26.852,75,1,17,10.2.0.2,53
